Website,LengthOfVisit,PlaceCategory,Fee,PlaceURL,Description,Ranking,PlaceTitle,TotalReviews,Longitude,AddressLocality,AddressRegion,StreetAddress,PhoneNumber,PostCode,Latitude,OpeningHours,Email,AverageRating
,,,,https://www.tripadvisor.com/Attraction_Review-g39214-d6702936-Reviews-Ephram_White_Park-Bowling_Green_Kentucky.html,,#29 of 40 things to do in Bowling Green,Ephram White Park,2 ,,Bowling Green,KY,885 Mt Olivet Rd,+1 270-846-1664,42101,,,,0
,,"Art Galleries, Shopping, Museums",,https://www.tripadvisor.com/Attraction_Review-g34410-d2002814-Reviews-Moonfish_Bay_Artist_Studio_and_Gallery-Madeira_Beach_Florida.html,"Fine Art on the Beach? Absolutely! Centrally located on the beaches at 218 150th Avenue in Madeira Bch, Moonfish Bay Gallery showcases fine artists working in a diverse range of media and subject matter & is home to the studio of artist Deborah Dabinet. Rotating fine art exhibitions in the relaxed setting of a neighborhood gallery. Gallery open 11-5 Wed,Thurs,Fri and by Appt any other time. Thru April 6th ""Since the World Didn't End"" show featuring Jamie Lynn Goldenberg, Patricia Sorg, Virginia Spalter, Deborah Dabinet, new work by Lynne Parrish and more. Just over the Tom Stuart Causeway in Madeira Beach on the right as you go towards the Gulf, Moonfish Bay offers convenient free parking just after the ""Madeira Way next right"" sign, or in lot just past the Amish Creamery (yum!) Come by on your next Beach Day!",#25 of 26 things to do in Madeira Beach,Moonfish Bay Artist Studio and Gallery,2 ,,Madeira Beach,FL,218 150th Avenue,727-742-2903,33708,,,MoonfishBay@tampabay.rr.com,1
,,,,https://www.tripadvisor.com/Attractions-g57415-Activities-c42-t287-Stowe_Vermont.html,,,Day Trips from Stowe,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g57415-Activities-c40-t260-Stowe_Vermont.html,,,Yoga & Pilates in Stowe,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g57415-Activities-c42-t204-Stowe_Vermont.html,,,Food Tours in Stowe,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g57415-Activities-c42-t224-Stowe_Vermont.html,,,City Tours in Stowe,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g57415-Activities-c59-t182-Stowe_Vermont.html,,,Taxis & Shuttles in Stowe,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g57415-Activities-c41-t185-Stowe_Vermont.html,,,Lessons & Workshops in Stowe,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g57415-Activities-c42-t139-Stowe_Vermont.html,,,Sightseeing Tours in Stowe,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g57415-Activities-c56-t272-Stowe_Vermont.html,,,Paint & Pottery Studios in Stowe,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g57415-Activities-c42-t205-Stowe_Vermont.html,,,Wine Tours & Tastings in Stowe,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g57415-Activities-c42-t225-Stowe_Vermont.html,,,Cultural Tours in Stowe,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g57415-Activities-c56-t261-Stowe_Vermont.html,,,Other Fun & Games in Stowe,,,,,,,,,,,
,,"Points of Interest & Landmarks, Sights & Landmarks",,https://www.tripadvisor.com/Attraction_Review-g39214-d6659312-Reviews-Murrell_s_Inn_Stagecoach_Stop-Bowling_Green_Kentucky.html,,#40 of 40 things to do in Bowling Green,Murrell's Inn Stagecoach Stop,,,Bowling Green,KY,Louisville Road,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g57415-Activities-c61-t217-Stowe_Vermont.html,,,Fishing Charters & Tours in Stowe,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g39214-Activities-c56-t261-Bowling_Green_Kentucky.html,,,Other Fun & Games in Bowling Green,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g39214-Activities-c61-t60-Bowling_Green_Kentucky.html,,,Golf Courses in Bowling Green,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g39214-Activities-c20-t99-Bowling_Green_Kentucky.html,,,Bars & Clubs in Bowling Green,,,,,,,,,,,
,,"Theaters, Concerts & Shows",,https://www.tripadvisor.com/Attraction_Review-g39214-d7198775-Reviews-Phoenix_Public_Theatre_of_Kentucky-Bowling_Green_Kentucky.html,,#39 of 40 things to do in Bowling Green,Phoenix Public Theatre of Kentucky,,,Bowling Green,KY,545 Morris Alley,12707816233,,,"Mon - Thu 7:00 am - 9:00 pm , Sat 9:00 am - 12:00 pm , ",,
,,,,https://www.tripadvisor.com/Attractions-g39214-Activities-c61-t213-Bowling_Green_Kentucky.html,,,Balloon Rides in Bowling Green,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g32530-Activities-c20-t99-Irvine_California.html,,,Bars & Clubs in Irvine,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g32530-Activities-c61-t214-Irvine_California.html,,,Bike Tours in Irvine,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g58210-Activities-c58-t113-Staunton_Virginia.html,,,Concerts in Staunton,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g1435792-Activities-c61-t191-Pensacola_Beach_Florida.html,,,Kayaking & Canoeing in Pensacola Beach,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g57809-Activities-c40-t127-Harrisonburg_Virginia.html,,,Spas in Harrisonburg,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g54358-Activities-c40-t127-Murrells_Inlet_South_Carolina.html,,,Spas in Murrells Inlet,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g41623-Activities-c26-t144-Hyannis_Cape_Cod_Massachusetts.html,,,Gift & Specialty Shops in Hyannis,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g41623-Activities-c20-t99-Hyannis_Cape_Cod_Massachusetts.html,,,Bars & Clubs in Hyannis,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g34094-Activities-c61-t167-Boynton_Beach_Florida.html,,,Boat Tours in Boynton Beach,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g41623-Activities-c42-t174-Hyannis_Cape_Cod_Massachusetts.html,,,Bus Tours in Hyannis,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g60003-Activities-c26-t144-Kenosha_Wisconsin.html,,,Gift & Specialty Shops in Kenosha,,,,,,,,,,,
,,"Educational sites, Sights & Landmarks",,https://www.tripadvisor.com/Attraction_Review-g32849-d102385-Reviews-Stanford_University-Palo_Alto_California.html,"Breeding ground for Silicon Valley businesses. The founders of Hewlett Packard, Yahoo!, and Sun Microsystems all passed through the doors of this institution.",#1 of 36 things to do in Palo Alto,Stanford University,"1,037 ",,Palo Alto,CA,450 Serra Mall,650 723 2300,94305,,"Sun 11:30 am - 3:30 pm , Mon - Fri 8:00 am - 5:00 pm , ",,10
,,,,https://www.tripadvisor.com/Attractions-g41623-Activities-c61-t186-Hyannis_Cape_Cod_Massachusetts.html,,,Gear Rentals in Hyannis,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g32530-Activities-c40-t127-Irvine_California.html,,,Spas in Irvine,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g32530-Activities-c61-t187-Irvine_California.html,,,Boat Rentals in Irvine,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g32530-Activities-c61-t191-Irvine_California.html,,,Kayaking & Canoeing in Irvine,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g32530-Activities-c20-t105-Irvine_California.html,,,Karaoke Bars in Irvine,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g34436-Activities-c56-t210-Merritt_Island_Brevard_County_Florida.html,,,Shooting Ranges in Merritt Island,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g34436-Activities-c56-t110-Merritt_Island_Brevard_County_Florida.html,,,Game & Entertainment Centers in Merritt Island,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g34436-Activities-c26-t144-Merritt_Island_Brevard_County_Florida.html,,,Gift & Specialty Shops in Merritt Island,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g34436-Activities-c42-t235-Merritt_Island_Brevard_County_Florida.html,,,Private Tours in Merritt Island,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g34436-Activities-c61-t187-Merritt_Island_Brevard_County_Florida.html,,,Boat Rentals in Merritt Island,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g34436-Activities-c61-t186-Merritt_Island_Brevard_County_Florida.html,,,Gear Rentals in Merritt Island,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g29073-Activities-c42-t139-Alameda_California.html,,,Sightseeing Tours in Alameda,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g34436-Activities-c61-t60-Merritt_Island_Brevard_County_Florida.html,,,Golf Courses in Merritt Island,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g32253-Activities-c40-t129-Costa_Mesa_California.html,,,Health/Fitness Clubs & Gyms in Costa Mesa,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g29073-Activities-c61-t214-Alameda_California.html,,,Bike Tours in Alameda,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g29073-Activities-c61-t60-Alameda_California.html,,,Golf Courses in Alameda,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g60755-Activities-c61-t217-Manteo_Roanoke_Island_Outer_Banks_North_Carolina.html,,,Fishing Charters & Tours in Manteo,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g60755-Activities-c42-t228-Manteo_Roanoke_Island_Outer_Banks_North_Carolina.html,,,Historical & Heritage Tours in Manteo,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g60755-Activities-c61-t194-Manteo_Roanoke_Island_Outer_Banks_North_Carolina.html,,,Scuba & Snorkeling in Manteo,,,,,,,,,,,
,,"Arenas & Stadiums, Sights & Landmarks",,https://www.tripadvisor.com/Attraction_Review-g60920-d3983967-Reviews-Luther_Williams_Ball_Park-Macon_Georgia.html,,#23 of 36 things to do in Macon,Luther Williams Ball Park,5 ,,Macon,GA,225 Willie Smokey Glover Blvd.,,,,,,0
,,,,https://www.tripadvisor.com/Attractions-g60755-Activities-c42-t233-Manteo_Roanoke_Island_Outer_Banks_North_Carolina.html,,,Night Tours in Manteo,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g60755-Activities-c41-t185-Manteo_Roanoke_Island_Outer_Banks_North_Carolina.html,,,Lessons & Workshops in Manteo,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g60755-Activities-c42-t226-Manteo_Roanoke_Island_Outer_Banks_North_Carolina.html,,,Ghost & Vampire Tours in Manteo,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g60755-Activities-c42-t183-Manteo_Roanoke_Island_Outer_Banks_North_Carolina.html,,,Walking Tours in Manteo,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g60755-Activities-c26-t144-Manteo_Roanoke_Island_Outer_Banks_North_Carolina.html,,,Gift & Specialty Shops in Manteo,,,,,,,,,,,
,,"Art Galleries, Museums, Shopping",,https://www.tripadvisor.com/Attraction_Review-g29073-d10076179-Reviews-Studio_23-Alameda_California.html,,#32 of 32 things to do in Alameda,Studio 23,,,Alameda,CA,2309B Encinal Ave.,4155802309,,,,,
,,,,https://www.tripadvisor.com/Attractions-g29073-Activities-c61-t167-Alameda_California.html,,,Boat Tours in Alameda,,,,,,,,,,,
,,"Hiking Trails, Nature & Parks, Outdoor Activities",,https://www.tripadvisor.com/Attraction_Review-g60755-d3399137-Reviews-Dare_County_Civil_War_Heritage_Trail-Manteo_Roanoke_Island_Outer_Banks_North_Carol.html,,#23 of 34 things to do in Manteo,Dare County Civil War Heritage Trail,1 ,,Manteo,NC,Outer Banks Visitor's Bureau,,,,,,0
,,,,https://www.tripadvisor.com/Attractions-g60920-Activities-c26-t144-Macon_Georgia.html,,,Gift & Specialty Shops in Macon,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g60920-Activities-c20-t99-Macon_Georgia.html,,,Bars & Clubs in Macon,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g60920-Activities-c56-t128-Macon_Georgia.html,,,Bowling Alleys in Macon,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g60755-Activities-c61-t186-Manteo_Roanoke_Island_Outer_Banks_North_Carolina.html,,,Gear Rentals in Manteo,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g60920-Activities-c61-t187-Macon_Georgia.html,,,Boat Rentals in Macon,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g60755-Activities-c61-t187-Manteo_Roanoke_Island_Outer_Banks_North_Carolina.html,,,Boat Rentals in Manteo,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g60755-Activities-c20-t170-Manteo_Roanoke_Island_Outer_Banks_North_Carolina.html,,,Coffeehouses in Manteo,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g60755-Activities-c40-t127-Manteo_Roanoke_Island_Outer_Banks_North_Carolina.html,,,Spas in Manteo,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g60920-Activities-c20-t109-Macon_Georgia.html,,,Dance Clubs & Discos in Macon,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g60740-Activities-c26-t144-Gunnison_Colorado.html,,,Gift & Specialty Shops in Gunnison,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g60740-Activities-c42-t139-Gunnison_Colorado.html,,,Sightseeing Tours in Gunnison,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g60740-Activities-c61-t263-Gunnison_Colorado.html,,,Other Outdoor Activities in Gunnison,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g60740-Activities-c61-t167-Gunnison_Colorado.html,,,Boat Tours in Gunnison,,,,,,,,,,,
,,"Hiking Trails, Outdoor Activities, Nature & Parks",,https://www.tripadvisor.com/Attraction_Review-g60740-d116389-Reviews-Oak_Flat_Trail-Gunnison_Colorado.html,"This trail, ending at the visitors center in the park, winds through forest while allowing glimpses into Black Canyon.",#22 of 38 things to do in Gunnison,Oak Flat Trail,2 ,,Gunnison,CO,,,,,,,0
,,"Hiking Trails, Nature & Parks, Outdoor Activities",,https://www.tripadvisor.com/Attraction_Review-g60740-d210151-Reviews-Mesa_Creek-Gunnison_Colorado.html,"Located in Colorado's Curecanti National Recreation Area, this short hiking trail leads to scenic Crystal Lake.",#26 of 38 things to do in Gunnison,Mesa Creek,1 ,,Gunnison,CO,,,,,,,0
,,"Antique Stores, Factory Outlets, Shopping",,https://www.tripadvisor.com/Attraction_Review-g60740-d7684240-Reviews-The_Boom_a_Rang-Gunnison_Colorado.html,,#23 of 38 things to do in Gunnison,The Boom-a-Rang,1 ,,Gunnison,CO,221 North Main St.,970-641-3115,81230,,,,0
,,"Hiking Trails, Nature & Parks, Outdoor Activities",,https://www.tripadvisor.com/Attraction_Review-g60740-d145439-Reviews-Cliff_Creek_Trail-Gunnison_Colorado.html,,#25 of 38 things to do in Gunnison,Cliff Creek Trail,1 ,,Gunnison,CO,Gunnison National Forest,,,,,,0
,,"Specialty Museums, Museums",,https://www.tripadvisor.com/Attraction_Review-g60740-d6888445-Reviews-Gunnison_Valley_Observatory-Gunnison_Colorado.html,,#21 of 38 things to do in Gunnison,Gunnison Valley Observatory,2 ,,Gunnison,CO,2804 County Road 38,(970) 642-1111,,,,,0
,,"Hiking Trails, Outdoor Activities, Nature & Parks",,https://www.tripadvisor.com/Attraction_Review-g60740-d210150-Reviews-Crystal_Creek-Gunnison_Colorado.html,This five-mile hiking trail gives visitors panoramic views of the San Juan Mountains.,#38 of 38 things to do in Gunnison,Crystal Creek,,,Gunnison,CO,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g59881-Activities-c40-t127-Fish_Creek_Wisconsin.html,,,Spas in Fish Creek,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g59881-Activities-c61-t217-Fish_Creek_Wisconsin.html,,,Fishing Charters & Tours in Fish Creek,,,,,,,,,,,
,,"Educational sites, Sights & Landmarks",,https://www.tripadvisor.com/Attraction_Review-g59335-d2514186-Reviews-West_Virginia_University-Morgantown_West_Virginia.html,,#1 of 28 things to do in Morgantown,West Virginia University,108 ,,Morgantown,WV,One Waterfront Place,1-800-344-9881,26506,,,visitwvu@mail.wvu.edu,6
,,,,https://www.tripadvisor.com/Attractions-g59881-Activities-c61-t187-Fish_Creek_Wisconsin.html,,,Boat Rentals in Fish Creek,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g60621-Activities-c61-t184-Koloa_Kauai_Hawaii.html,,,Water Sports in Koloa,,,,,,,,,,,
,,"Canyons, Nature & Parks",,https://www.tripadvisor.com/Attraction_Review-g59335-d7062290-Reviews-Cheat_Canyon_Adventures_Day_Adventures-Morgantown_West_Virginia.html,Bringing adventure to life with our outdoor recreation guide and adventure blog. Discover adventure opportunities and get the most out of your outdoor leisure time!,#28 of 28 things to do in Morgantown,Cheat Canyon Adventures - Day Adventures,,,Morgantown,WV,714 Venture Drive,+1 304-584-7430,26508,,,info@cheatcanyonadventures.com,
,,,,https://www.tripadvisor.com/Attractions-g55870-Activities-c26-t144-Frisco_Texas.html,,,Gift & Specialty Shops in Frisco,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g55870-Activities-c56-t97-Frisco_Texas.html,,,Movie Theaters in Frisco,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g55870-Activities-c58-t113-Frisco_Texas.html,,,Concerts in Frisco,,,,,,,,,,,
,,"Shopping Malls, Shopping",,https://www.tripadvisor.com/Attraction_Review-g55870-d947588-Reviews-Shops_at_Starwood-Frisco_Texas.html,"The Shops at Starwood is a new oasis of cool lifestyle center that houses award winning restaurants such as Josephine's Wine Bar & Bistro, Bonnie Ruth's Cafe, Kotto Sushi Lounge, It's a Grind Coffeehouse and Piccomolo Ice Cream Celebration to unique shopping for children at Learning Express and Little Heiress. Luxury services include Green Peridot Aveda Salon, Starwood Nails, Mattress Logix, DFW Diamonds Studio and Judge Fite's Century 21 Fine Homes & Estates office. ",#24 of 28 things to do in Frisco,Shops at Starwood,1 ,,Frisco,TX,6959 Lebanon Road,214 373 4202,75034,,,,0
,,,,https://www.tripadvisor.com/Attractions-g55870-Activities-c20-t99-Frisco_Texas.html,,,Bars & Clubs in Frisco,,,,,,,,,,,
,,,,https://www.tripadvisor.com/Attractions-g55870-Activities-c56-t210-Frisco_Texas.html,,,Shooting Ranges in Frisco,,,,,,,,,,,
,,"History Museums, Specialty Museums, Museums",,https://www.tripadvisor.com/Attraction_Review-g57804-d218842-Reviews-Fort_Monroe_s_Casemate_Museum-Hampton_Virginia.html,,#1 of 24 things to do in Hampton,Fort Monroe's Casemate Museum,267 ,,Hampton,VA,20 Bernard Road,757-788-3391,23651,,,,11
,,"Art Galleries, Museums, Shopping",,https://www.tripadvisor.com/Attraction_Review-g49816-d8403593-Reviews-Third_Street_Gallery-Grand_Forks_North_Dakota.html,,#20 of 20 things to do in Grand Forks,Third Street Gallery,,,"Grand Forks,Grand Forks","ND,ND","310 Kittson Ave,310 Kittson Ave",+1 701-757-3333,"58201,58201",,,,
